,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saskylakh,RU,71.9167,114.0833,48.45,41,30,5.79,scattered clouds
79,Nanortalik,GL,60.1432,-45.2371,39.42,79,26,8.84,scattered clouds
80,Port Macquarie,AU,-31.4333,152.9167,59.9,57,0,3.11,clear sky
81,Korla,CN,41.7597,86.1469,82.6,20,76,13.35,broken clouds
82,Buala,SB,-8.145,159.5921,82.62,76,97,9.19,light rain
83,Mahebourg,MU,-20.4081,57.7,73.26,73,75,17.27,broken clouds
84,Arys,KZ,42.4252,68.795,74.64,33,1,7.4,clear sky
85,Ishigaki,JP,24.3448,124.1572,84.33,94,75,10.36,light rain
86,Palmer,US,42.1584,-72.3287,75.81,62,100,9.22,overcast clouds
87,Khandbari,NP,27.3747,87.2039,72.43,89,96,0.54,overcast clouds
88,Sassandra,CI,4.95,-6.0833,74.55,93,100,9.93,overcast clouds
89,Jizan,SA,17.3333,42.6667,90.54,74,91,4.7,overcast clouds
90,Qaqortoq,GL,60.7167,-46.0333,39.87,75,8,5.66,clear sky
91,Hauknes,NO,66.2833,14.0667,43.79,91,48,2.3,scattered clouds
92,Mar Del Plata,AR,-38.0023,-57.5575,49.08,92,85,0.0,fog
93,Isoka,ZM,-10.1606,32.6335,56.7,79,55,0.45,broken clouds
94,Sur,OM,22.5667,59.5289,86.95,65,14,8.61,few clouds
95,Katsuura,JP,35.1333,140.3,69.57,87,100,4.59,overcast clouds
96,Beira,MZ,-19.8436,34.8389,66.49,77,0,6.2,clear sky
97,Beringovskiy,RU,63.05,179.3167,45.55,75,100,20.24,overcast clouds
98,Kutum,SD,14.2,24.6667,80.94,27,58,3.0,broken clouds
99,Starosubkhangulovo,RU,53.1031,57.4423,52.52,94,0,2.01,clear sky
100,Saint-Pierre,RE,-21.3393,55.4781,72.91,73,75,8.05,broken clouds
101,Rawlins,US,41.7911,-107.2387,71.49,12,0,20.71,clear sky
102,Buraydah,SA,26.326,43.975,88.25,16,0,4.09,clear sky
103,Hithadhoo,MV,-0.6,73.0833,82.24,72,65,5.55,light rain
104,East London,ZA,-33.0153,27.9116,54.57,62,28,20.11,scattered clouds
105,Provideniya,RU,64.3833,-173.3,39.36,100,100,13.42,mist
106,Emba,KZ,48.8264,58.1442,66.99,36,8,5.86,clear sky
107,Kulebaki,RU,55.4133,42.5325,51.89,92,94,5.01,overcast clouds
108,Santa Fe,AR,-31.6333,-60.7,62.98,71,100,1.99,light rain
109,Pitimbu,BR,-7.4706,-34.8086,73.99,80,9,4.81,clear sky
110,Fairbanks,US,64.8378,-147.7164,72.01,50,75,9.22,smoke
111,Nyurba,RU,63.2842,118.3319,65.12,63,67,3.65,broken clouds
112,Colesberg,ZA,-30.72,25.0972,32.88,68,0,4.07,clear sky
